t_ms,target,cps,band_lo,band_hi
52500,300.0,305.0,0.0,0.0
52600,300.0,297.27,0.0,0.0
52700,300.0,297.5,0.0,0.0
52800,300.0,305.0,0.0,0.0
52900,300.0,297.5,0.0,0.0
53000,300.0,297.27,0.0,0.0
53100,300.0,304.77,0.0,0.0
53200,300.0,297.5,0.0,0.0
53300,300.0,297.5,0.0,0.0
53400,300.0,305.0,0.0,0.0
53500,300.0,297.27,0.0,0.0
53600,300.0,294.77,0.0,0.0
53700,300.0,305.19,0.0,0.0
53800,300.0,305.0,0.0,0.0
53900,300.0,294.77,0.0,0.0
54000,300.0,300.0,0.0,0.0
54100,300.0,302.5,0.0,0.0
54200,300.0,302.5,0.0,0.0
54300,300.0,297.5,0.0,0.0
54400,300.0,302.27,0.0,0.0
54500,300.0,294.77,0.0,0.0
54600,300.0,300.0,0.0,0.0
54700,300.0,305.0,0.0,0.0
54800,300.0,295.0,0.0,0.0
54900,300.0,299.77,0.0,0.0
55000,300.0,302.27,0.0,0.0
55100,300.0,305.0,0.0,0.0
55200,300.0,297.5,0.0,0.0
55300,300.0,290.0,0.0,0.0
55400,300.0,302.27,0.0,0.0
55500,300.0,302.5,0.0,0.0
55600,300.0,302.05,0.0,0.0
55700,300.0,300.0,0.0,0.0
55800,300.0,305.19,0.0,0.0
55900,300.0,294.77,0.0,0.0
56000,300.0,300.0,0.0,0.0
56100,300.0,305.0,0.0,0.0
56200,300.0,295.0,0.0,0.0
56300,300.0,299.55,0.0,0.0
56400,300.0,305.0,0.0,0.0
56500,300.0,294.55,0.0,0.0
56600,300.0,300.0,0.0,0.0
56700,300.0,305.0,0.0,0.0
56800,300.0,294.77,0.0,0.0
56900,300.0,300.0,0.0,0.0
57000,300.0,304.55,0.0,0.0
57100,300.0,295.0,0.0,0.0
57200,300.0,300.0,0.0,0.0
57300,300.0,304.55,0.0,0.0
57400,300.0,295.0,0.0,0.0
57500,300.0,302.27,0.0,0.0
57600,300.0,305.0,0.0,0.0
57700,300.0,296.35,0.0,0.0
57800,300.0,300.0,0.0,0.0
57900,0.0,304.77,0.0,0.0
58000,0.0,267.5,0.0,0.0
58100,0.0,225.0,0.0,0.0
58200,0.0,183.18,0.0,0.0
58300,0.0,157.5,0.0,0.0
58400,0.0,126.14,0.0,0.0
58500,0.0,105.0,0.0,0.0
58600,0.0,87.5,0.0,0.0
58700,0.0,69.32,0.0,0.0
58800,0.0,60.0,0.0,0.0
58900,0.0,44.55,0.0,0.0
59000,0.0,42.5,0.0,0.0
59100,0.0,25.0,0.0,0.0
59200,0.0,0.0,0.0,0.0
59300,0.0,0.0,0.0,0.0
59400,0.0,0.0,0.0,0.0
59500,0.0,0.0,0.0,0.0
59600,0.0,0.0,0.0,0.0
59700,0.0,0.0,0.0,0.0
59800,0.0,0.0,0.0,0.0
59900,0.0,0.0,0.0,0.0
60000,0.0,0.0,0.0,0.0
